nohup: ignoring input
Device: cuda

=== Epoch 1/100 ===
  Batch 20: Total=0.8601 | loss_classifier: 0.060 | loss_box_reg: 0.072 | loss_mask: 0.565 | loss_objectness: 0.161 | loss_rpn_box_reg: 0.002
  Batch 40: Total=1.5788 | loss_classifier: 0.142 | loss_box_reg: 0.201 | loss_mask: 1.134 | loss_objectness: 0.096 | loss_rpn_box_reg: 0.006
  Batch 60: Total=1.0113 | loss_classifier: 0.132 | loss_box_reg: 0.079 | loss_mask: 0.737 | loss_objectness: 0.061 | loss_rpn_box_reg: 0.002
  Batch 80: Total=1.0615 | loss_classifier: 0.072 | loss_box_reg: 0.038 | loss_mask: 0.887 | loss_objectness: 0.061 | loss_rpn_box_reg: 0.004
  Batch 100: Total=3.2167 | loss_classifier: 0.108 | loss_box_reg: 0.071 | loss_mask: 3.002 | loss_objectness: 0.034 | loss_rpn_box_reg: 0.003
  Batch 120: Total=0.8680 | loss_classifier: 0.027 | loss_box_reg: 0.023 | loss_mask: 0.710 | loss_objectness: 0.075 | loss_rpn_box_reg: 0.033
  Batch 140: Total=0.5657 | loss_classifier: 0.130 | loss_box_reg: 0.116 | loss_mask: 0.275 | loss_objectness: 0.042 | loss_rpn_box_reg: 0.003
  Batch 160: Total=0.7055 | loss_classifier: 0.076 | loss_box_reg: 0.082 | loss_mask: 0.509 | loss_objectness: 0.035 | loss_rpn_box_reg: 0.003
  Batch 180: Total=0.8179 | loss_classifier: 0.084 | loss_box_reg: 0.178 | loss_mask: 0.523 | loss_objectness: 0.029 | loss_rpn_box_reg: 0.005
  Batch 200: Total=0.8614 | loss_classifier: 0.100 | loss_box_reg: 0.114 | loss_mask: 0.621 | loss_objectness: 0.024 | loss_rpn_box_reg: 0.002
  Batch 220: Total=0.7028 | loss_classifier: 0.070 | loss_box_reg: 0.073 | loss_mask: 0.537 | loss_objectness: 0.018 | loss_rpn_box_reg: 0.006
  Batch 240: Total=0.3781 | loss_classifier: 0.040 | loss_box_reg: 0.079 | loss_mask: 0.239 | loss_objectness: 0.017 | loss_rpn_box_reg: 0.003
  Batch 260: Total=0.5108 | loss_classifier: 0.058 | loss_box_reg: 0.072 | loss_mask: 0.367 | loss_objectness: 0.009 | loss_rpn_box_reg: 0.005
  Batch 280: Total=0.2965 | loss_classifier: 0.079 | loss_box_reg: 0.084 | loss_mask: 0.126 | loss_objectness: 0.006 | loss_rpn_box_reg: 0.001
  Batch 300: Total=0.4109 | loss_classifier: 0.058 | loss_box_reg: 0.066 | loss_mask: 0.275 | loss_objectness: 0.009 | loss_rpn_box_reg: 0.002
  Batch 320: Total=0.3527 | loss_classifier: 0.035 | loss_box_reg: 0.079 | loss_mask: 0.227 | loss_objectness: 0.010 | loss_rpn_box_reg: 0.002
  Batch 340: Total=0.8340 | loss_classifier: 0.154 | loss_box_reg: 0.109 | loss_mask: 0.490 | loss_objectness: 0.069 | loss_rpn_box_reg: 0.012
  Batch 360: Total=0.4373 | loss_classifier: 0.071 | loss_box_reg: 0.121 | loss_mask: 0.195 | loss_objectness: 0.016 | loss_rpn_box_reg: 0.034
  Batch 380: Total=0.2812 | loss_classifier: 0.042 | loss_box_reg: 0.067 | loss_mask: 0.156 | loss_objectness: 0.015 | loss_rpn_box_reg: 0.001
  Batch 400: Total=0.4062 | loss_classifier: 0.040 | loss_box_reg: 0.083 | loss_mask: 0.272 | loss_objectness: 0.007 | loss_rpn_box_reg: 0.004
Epoch 1 | Avg Loss: 0.8479 | LR: 0.000017

=== Epoch 2/100 ===
  Batch 20: Total=0.2928 | loss_classifier: 0.045 | loss_box_reg: 0.071 | loss_mask: 0.168 | loss_objectness: 0.005 | loss_rpn_box_reg: 0.005
  Batch 40: Total=0.4480 | loss_classifier: 0.092 | loss_box_reg: 0.125 | loss_mask: 0.214 | loss_objectness: 0.005 | loss_rpn_box_reg: 0.011
  Batch 60: Total=0.3971 | loss_classifier: 0.059 | loss_box_reg: 0.089 | loss_mask: 0.244 | loss_objectness: 0.003 | loss_rpn_box_reg: 0.003
  Batch 80: Total=0.2773 | loss_classifier: 0.049 | loss_box_reg: 0.092 | loss_mask: 0.108 | loss_objectness: 0.016 | loss_rpn_box_reg: 0.012
  Batch 100: Total=0.5660 | loss_classifier: 0.050 | loss_box_reg: 0.092 | loss_mask: 0.387 | loss_objectness: 0.018 | loss_rpn_box_reg: 0.019
  Batch 120: Total=0.4885 | loss_classifier: 0.118 | loss_box_reg: 0.107 | loss_mask: 0.258 | loss_objectness: 0.003 | loss_rpn_box_reg: 0.001
  Batch 140: Total=0.3964 | loss_classifier: 0.067 | loss_box_reg: 0.062 | loss_mask: 0.248 | loss_objectness: 0.012 | loss_rpn_box_reg: 0.007
  Batch 160: Total=0.5215 | loss_classifier: 0.097 | loss_box_reg: 0.112 | loss_mask: 0.297 | loss_objectness: 0.007 | loss_rpn_box_reg: 0.009
  Batch 180: Total=0.5507 | loss_classifier: 0.083 | loss_box_reg: 0.081 | loss_mask: 0.334 | loss_objectness: 0.031 | loss_rpn_box_reg: 0.022
